,Year,Month,Median_Temp_Difference
1012,1934,05,-0.08199999999999999
1013,1934,06,-0.043
1014,1934,07,-0.068
1015,1934,08,-0.057999999999999996
1016,1934,09,-0.10099999999999999
1017,1934,10,-0.091
1018,1934,11,0.022000000000000002
1019,1934,12,-0.142
1020,1935,01,-0.233
1021,1935,02,0.10099999999999999
1022,1935,03,-0.23
1023,1935,04,-0.273
1024,1935,05,-0.245
1025,1935,06,-0.188
1026,1935,07,-0.142
1027,1935,08,-0.154
1028,1935,09,-0.141
1029,1935,10,-0.075
1030,1935,11,-0.308
1031,1935,12,-0.27399999999999997
1032,1936,01,-0.31
1033,1936,02,-0.365
1034,1936,03,-0.31
1035,1936,04,-0.213
1036,1936,05,-0.16
1037,1936,06,-0.161
1038,1936,07,-0.021
1039,1936,08,-0.045
1040,1936,09,-0.10800000000000001
1041,1936,10,-0.006
1042,1936,11,-0.071
